Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity
2,0.5,4,25,"[0.0, 27.01637086935409, 55.376001459753866, 89.2658325808111, 137.42035915509962, 204.6236987182018, 275.9033469631531, 343.793081314941, 406.9924726711795, 465.7453575463693, 518.3423352230316, 565.3280189539662, 608.7202622519737, 648.5265616384772, 684.3088543044994, 717.4253002941646, 748.3212754905298, 776.6556472659552, 803.8200018287475, 830.2818816874221, 858.2610004009077, 886.5897754660039, 916.2242013607151, 946.7261066008546, 976.9838362910205, 1008.1072244794386, 1039.4688273192899, 1071.1746664590873, 1103.7689171060988, 1137.2871884827273, 1171.4192516022172, 1207.2464169394905, 1243.546602956473, 1278.6576864703743, 1311.511195591446, 1341.0195438962728, 1369.1903656271666, 1394.977241635939, 1419.4771794157725, 1443.1603283507666, 1465.9730761156009, 1488.682968406939, 1511.3998831678484, 1534.2114518779292, 1557.714058617267, 1582.4346862170585, 1608.626543869146, 1641.3771465456982, 1687.34969392178, 1737.317754175959]","[4.195922400000001, 4.1948986, 4.1940718, 4.1932449, 4.192535899999999, 4.1921029, 4.1914725, 4.1910396, 4.1906061, 4.1900945, 4.1895432, 4.1891885, 4.1889524, 4.1885195, 4.188283, 4.1880074, 4.1877317000000005, 4.187495200000001, 4.1871409, 4.1868653, 4.186708, 4.186314100000001, 4.1861959, 4.1859989, 4.1858416, 4.185644600000001, 4.1854477, 4.1851325, 4.1850538, 4.1848569, 4.18466, 4.1845813, 4.184463500000001, 4.1842666, 4.1841874, 4.1839514, 4.1837149, 4.1837149, 4.1835184000000005, 4.1835184000000005, 4.1833215, 4.1833606, 4.1833215, 4.183163599999999, 4.182888, 4.182888, 4.1828489, 4.1826911, 4.1826911, 4.1824155, 4.1824155, 4.182258099999999, 4.1822972, 4.181982499999999, 4.181982499999999, 4.1820216, 4.1817856, 4.1818643, 4.181746, 4.1818247, 4.1815491, 4.1813917, 4.1813521, 4.1814313, 4.1811557, 4.1812344, 4.1811161, 4.1811161, 4.1811161, 4.1809587, 4.1809587, 4.1808796, 4.1808009, 4.180761799999999, 4.1808405, 4.180564899999999, 4.1806831, 4.180407, 4.180564899999999, 4.180525299999999, 4.1802497, 4.180367899999999, 4.1802106, 4.1802497, 4.1802497, 4.1802106, 4.1801314, 4.1800528, 4.1799741, 4.1800137, 4.1801314, 4.1799741, 4.1798954, 4.1797771, 4.1796985, 4.1796589, 4.1798167, 4.1796589, 4.1796985, 4.179462, 4.1795411, 4.1794229, 4.1795411, 4.1794229, 4.179462, 4.1792259, 4.1791863, 4.1793046, 4.1793833, 4.1791077, 4.1791863, 4.1791863, 4.1791077, 4.179029, 4.179029, 4.1790686, 4.1789107, 4.179029, 4.1789503]",2500.419344380426
3,0.5,4,25,"[0.0, 27.68652329148199, 56.39581940398341, 90.75901108688993, 139.3482048694417, 206.07624959765724, 277.29101885772945, 343.37624124497984, 406.65460617386236, 464.7501694032452, 516.5339878020122, 564.7021964772207, 607.6087764775082, 646.9580053590539, 683.5556984668103, 716.489703840291, 747.4016801748544, 775.7082336801393, 803.0255098948501, 829.720224350955, 857.0157836135918, 885.6993660846151, 915.2271231019508, 945.8517215671352, 976.1832450332686, 1006.7599236331521, 1038.2444776761163, 1069.9045207804336, 1102.368065629933, 1135.5669472003647, 1169.9598267679955, 1205.6800669138713, 1242.2086939305818, 1277.2787858302424, 1310.2829272271317, 1339.9638172814516, 1367.755668963728, 1393.3496647822024, 1417.9259869320742, 1441.7100470116802, 1464.6864899501352, 1487.3558835405888, 1509.6807849842735, 1532.7034556661963, 1556.02294085076, 1580.8104425194595, 1607.555148603821, 1639.7177936551, 1685.9020764041468, 1737.6163328123641]","[4.1960802, 4.195016900000001, 4.1939931, 4.1934023, 4.1927328, 4.1920633, 4.1916695, 4.1910396, 4.190685299999999, 4.190015799999999, 4.1897006, 4.189425, 4.1891494, 4.1886373, 4.1884012, 4.1881256, 4.18785, 4.1875348, 4.1873775, 4.1871018, 4.1867471, 4.1866684, 4.186314100000001, 4.1860385, 4.185920200000001, 4.1857629, 4.185605000000001, 4.1854477, 4.1852117, 4.1850934, 4.1847782, 4.184739100000001, 4.1846209000000005, 4.1843843000000005, 4.1844239000000005, 4.1840696, 4.1841874, 4.1839514, 4.183794, 4.1837544, 4.1835971, 4.1835184000000005, 4.1832423, 4.1832819, 4.183163599999999, 4.183045900000001, 4.1828094, 4.1827698, 4.1828094, 4.1826124, 4.1826124, 4.182494200000001, 4.1824551, 4.1822972, 4.182258099999999, 4.1821795, 4.1820216, 4.181982499999999, 4.181942899999999, 4.1818643, 4.181746, 4.181667299999999, 4.1815491, 4.1816282, 4.1815491, 4.1815886, 4.181470399999999, 4.1812344, 4.1812735, 4.1812735, 4.1812344, 4.1811557, 4.1810765, 4.181037399999999, 4.181037399999999, 4.1807222, 4.1807222, 4.1808796, 4.1808009, 4.1807222, 4.1807222, 4.1804862, 4.1804466, 4.180367899999999, 4.180604, 4.1803284, 4.180171, 4.1803284, 4.1802106, 4.1802106, 4.1801314, 4.1802106, 4.180092299999999, 4.1801314, 4.1798954, 4.1798558, 4.1800528, 4.1799345, 4.1798167, 4.1798558, 4.1796985, 4.1799345, 4.1796985, 4.179619799999999, 4.179619799999999, 4.1795411, 4.1796985, 4.1795411, 4.1795411, 4.1793442, 4.1791863, 4.1793833, 4.1793833, 4.1793442, 4.1792655, 4.1791077, 4.1793046, 4.1792655, 4.179029]",2498.401249041884
4,0.5,4,25,"[0.0, 27.200486143851435, 55.8268436122097, 89.69398672942373, 138.2558453789885, 204.80600938857106, 275.3892014293617, 343.38758774121686, 405.34528292717766, 462.95802330026333, 516.0342999951995, 563.0467153052364, 605.964069387257, 645.3891957645567, 681.9075648548678, 714.6352185660546, 745.5999147883865, 774.2835046441262, 801.4240835071932, 828.1849490287871, 855.4979057773878, 883.7116803373044, 913.0738296282145, 943.5392982459373, 973.7490714047267, 1004.8960105105668, 1036.5462648045027, 1067.9235845982075, 1100.0479839622956, 1133.566942383193, 1168.076841733162, 1204.1033038548794, 1239.998852788577, 1275.2707292784814, 1307.7685458478209, 1337.7610143531988, 1365.3675932335063, 1391.4614912482243, 1415.7009276959666, 1439.3120834654692, 1462.229500918548, 1484.7781165706572, 1507.5166293512987, 1530.0736303779397, 1553.5216884705103, 1577.956729465591, 1605.2716612733745, 1636.7694087228845, 1684.4010810541774, 1734.093293992921]","[4.1960802, 4.194858999999999, 4.1941504, 4.193441399999999, 4.1928115, 4.1919451, 4.191630399999999, 4.190921299999999, 4.190685299999999, 4.1902127, 4.1896219, 4.1893067, 4.1891885, 4.1888738, 4.1884403, 4.1882434, 4.1877708, 4.1875348, 4.1871805, 4.1870227, 4.1866293, 4.186589700000001, 4.1861959, 4.186274500000001, 4.186156700000001, 4.185644600000001, 4.185644600000001, 4.1854873, 4.1852117, 4.1850934, 4.1848569, 4.1848965, 4.1845813, 4.184463500000001, 4.1843057, 4.1843057, 4.1840301, 4.1841087, 4.1838727, 4.1836758000000005, 4.1834788, 4.1834788, 4.1833215, 4.1832423, 4.1832819, 4.183045900000001, 4.1828489, 4.1828489, 4.182652, 4.1828094, 4.1825337, 4.182494200000001, 4.1824155, 4.1823368, 4.1824155, 4.181982499999999, 4.1820612, 4.1818247, 4.181982499999999, 4.1817069, 4.181746, 4.1818643, 4.181746, 4.1815886, 4.181470399999999, 4.18151, 4.1813917, 4.1814313, 4.1813521, 4.1811161, 4.1811557, 4.181037399999999, 4.1810765, 4.1810765, 4.1809192, 4.1809192, 4.1808009, 4.1808009, 4.1806831, 4.1807222, 4.1807222, 4.1806831, 4.1806436, 4.180407, 4.1804466, 4.180407, 4.1802497, 4.180407, 4.1802106, 4.180092299999999, 4.180171, 4.1800528, 4.1802106, 4.1802106, 4.1802106, 4.1800137, 4.1798954, 4.1798167, 4.1798558, 4.1799345, 4.1798954, 4.1798558, 4.1798167, 4.1798167, 4.1798167, 4.1796589, 4.179462, 4.1795802, 4.1795802, 4.1795015, 4.179462, 4.1793833, 4.1794229, 4.1795015, 4.1793442, 4.1793442, 4.1791863, 4.1792259, 4.1792655]",2496.459278956706
5,0.5,4,25,"[0.0, 26.42532992936742, 55.178476909701885, 89.05345192353809, 137.5858659271853, 203.8062986499731, 273.88765674710123, 341.5901002429372, 404.47638075264763, 461.1037220660635, 514.0886547917934, 561.0399194763253, 604.6249419307325, 643.6993501940543, 679.778572049836, 712.9570742007687, 744.089116735833, 772.4037284987209, 799.9177606743075, 826.4318493767934, 853.2017968688621, 881.2970565101467, 911.4246689001008, 941.0499375069552, 971.8423762283138, 1002.7242209641416, 1033.9954674641158, 1065.1718009596311, 1097.991425431926, 1130.8774656649866, 1165.7641629330196, 1201.7532074167643, 1237.5862721646017, 1272.6392535479063, 1305.2910135007583, 1335.0677874968524, 1362.5098635893596, 1388.5164879101367, 1412.846534379676, 1436.361358728393, 1459.488822070336, 1482.032028202696, 1504.5191247929647, 1527.416806264433, 1551.0043117731516, 1575.606581226733, 1602.419062373222, 1635.0196869701927, 1681.5900312962635, 1730.7524435510254]","[4.1960406, 4.1948199, 4.1940718, 4.1933627, 4.192575499999999, 4.1920633, 4.1914725, 4.191, 4.1907244, 4.1900549, 4.1897402, 4.189425, 4.1889524, 4.1886768, 4.1884799, 4.188086, 4.1877708, 4.1874166, 4.1871409, 4.1868262000000005, 4.1867471, 4.186589700000001, 4.186353700000001, 4.1860385, 4.1858811000000005, 4.185605000000001, 4.1855659, 4.1852508, 4.1851325, 4.1849751, 4.1848965, 4.1847782, 4.1845026, 4.1843057, 4.1842666, 4.1842666, 4.1838727, 4.1839514, 4.1835971, 4.1835971, 4.1834788, 4.1835184000000005, 4.1832819, 4.183163599999999, 4.183085, 4.1829667, 4.182888, 4.1826911, 4.1827698, 4.1825733, 4.182494200000001, 4.1825337, 4.182218600000001, 4.1823368, 4.1821399, 4.1822972, 4.181982499999999, 4.1819038, 4.181982499999999, 4.1818643, 4.1818247, 4.1818247, 4.1815886, 4.1815886, 4.1814313, 4.1811948, 4.1813917, 4.1812735, 4.181037399999999, 4.1811161, 4.180997799999999, 4.180997799999999, 4.1811161, 4.180997799999999, 4.180997799999999, 4.1806831, 4.1808009, 4.1806436, 4.1807222, 4.1806436, 4.180564899999999, 4.180564899999999, 4.180525299999999, 4.1802497, 4.1802497, 4.1801314, 4.1803284, 4.1802106, 4.180171, 4.1802106, 4.1802497, 4.1800137, 4.1799345, 4.1799741, 4.1798167, 4.1800528, 4.1798167, 4.1798558, 4.1797771, 4.179738, 4.1797771, 4.1796589, 4.1797771, 4.1795411, 4.179619799999999, 4.1795802, 4.1794229, 4.1794229, 4.1793046, 4.1794229, 4.1793442, 4.1793833, 4.179462, 4.1793442, 4.1791077, 4.1792655, 4.1791863, 4.1791077, 4.179029]",2493.940545967883
6,0.5,4,25,"[0.0, 25.727360008745222, 54.25172123868265, 87.74479383493417, 135.7675148336972, 202.59101294475965, 272.6262592667275, 340.8035358145953, 402.7725301044936, 459.7889662747938, 512.1465127282833, 559.3685723666032, 602.6458528667314, 641.8252903214051, 677.6810339226078, 711.0463540330192, 741.8290220878627, 770.380996892634, 797.9585524011221, 824.4514577970402, 851.5564438067348, 879.3729588907082, 908.8190051460186, 938.8106723763532, 969.7405327754617, 1000.3099645208537, 1031.0652918129567, 1063.2408651764486, 1095.389459612661, 1128.8847823040428, 1163.5123425701413, 1198.5497154788413, 1234.9513300573117, 1269.9642182882158, 1302.7268172419358, 1332.6164240722019, 1360.0005502819417, 1386.0286738924533, 1410.3650570660884, 1433.9792089769971, 1456.60085589168, 1479.5044394560769, 1501.9019943365147, 1524.805886516981, 1548.0352721687755, 1572.6635171308903, 1599.3546792733714, 1632.0090676171817, 1678.6466301335927, 1730.607751884018]","[4.1960011, 4.1948986, 4.1940718, 4.193165799999999, 4.1926932, 4.192023799999999, 4.1915121, 4.1910396, 4.1904488, 4.1902127, 4.1897006, 4.189425, 4.1891098, 4.1887159, 4.1882434, 4.1878891000000005, 4.1878104, 4.1874561, 4.1871805, 4.1871018, 4.1866684, 4.186589700000001, 4.186274500000001, 4.1861172, 4.1858416, 4.1854873, 4.1854477, 4.185369000000001, 4.1850934, 4.185014700000001, 4.184739100000001, 4.1845813, 4.184463500000001, 4.1841874, 4.184227, 4.1840696, 4.1840301, 4.183794, 4.1836362000000005, 4.1836362000000005, 4.1834002, 4.1834002, 4.1832032, 4.183085, 4.1829667, 4.183045900000001, 4.1828489, 4.1827698, 4.1827307000000005, 4.182494200000001, 4.1825733, 4.1823764, 4.182258099999999, 4.1821399, 4.1821008, 4.181982499999999, 4.181942899999999, 4.1818247, 4.1819038, 4.1815886, 4.1816282, 4.181667299999999, 4.1816282, 4.181470399999999, 4.181312999999999, 4.1811948, 4.1812735, 4.181312999999999, 4.1809587, 4.181037399999999, 4.1808796, 4.1810765, 4.1809587, 4.1809192, 4.1809587, 4.1806436, 4.1808796, 4.180761799999999, 4.1806436, 4.180564899999999, 4.180525299999999, 4.1804862, 4.1804466, 4.1804466, 4.1804862, 4.180367899999999, 4.1801314, 4.1801314, 4.1801314, 4.1800137, 4.1802106, 4.1801314, 4.1801314, 4.1798954, 4.1798558, 4.1799345, 4.1797771, 4.1798167, 4.179619799999999, 4.1798167, 4.1797771, 4.1797771, 4.179738, 4.1795411, 4.1795802, 4.1793046, 4.1795015, 4.1793442, 4.179462, 4.1793833, 4.1794229, 4.1792259, 4.1793046, 4.1793442, 4.1791077, 4.1791472, 4.179029, 4.1791863, 4.1789894]",2491.657515803495
7,0.5,4,25,"[0.0, 27.797327372737413, 56.798865821314735, 90.73578514251767, 137.7253212426325, 204.57061179680682, 274.76440042634476, 341.9254241680766, 404.59873031754205, 461.45302789332266, 514.1933094516095, 560.6651387495889, 603.8628827112235, 642.851239079807, 679.091782450411, 711.8593347986049, 742.9048377311564, 771.5724283944938, 799.1975121121319, 825.6663340242332, 852.453827272093, 880.9133133116248, 910.0843875387098, 940.3278395618962, 970.4387638150805, 1001.2298077120707, 1032.2787910603847, 1063.9655442014046, 1096.128643825999, 1129.6930863925395, 1163.9268733595754, 1199.679970475589, 1235.5418462981816, 1270.978021315651, 1303.3498357673288, 1333.3363234947183, 1361.007520486618, 1386.6605459273246, 1411.1710962442676, 1434.3949736208433, 1457.462298086506, 1480.1128464256985, 1502.7389586477111, 1525.4329775958813, 1548.8936026779452, 1573.4905755900786, 1599.8903687197394, 1632.5914140853988, 1678.7363160648074, 1730.6786910228789]","[4.1961193, 4.1948986, 4.1940718, 4.1932054, 4.1926932, 4.192023799999999, 4.1914334, 4.191, 4.1906061, 4.1902127, 4.1897006, 4.1893463, 4.1889524, 4.1885586, 4.1883616, 4.1879678, 4.1877708, 4.1872988, 4.187219600000001, 4.1870227, 4.1866293, 4.186550100000001, 4.1863928, 4.1860776, 4.185920200000001, 4.1857233, 4.1855264, 4.185369000000001, 4.1852903, 4.1848965, 4.1848965, 4.18466, 4.184699500000001, 4.1845813, 4.1842666, 4.183991000000001, 4.1838331, 4.183991000000001, 4.1836758000000005, 4.1835971, 4.1835184000000005, 4.1834002, 4.1832032, 4.1833606, 4.183045900000001, 4.1831245, 4.1828094, 4.1827307000000005, 4.1827698, 4.1825337, 4.182494200000001, 4.1824155, 4.1823764, 4.1821795, 4.1821795, 4.1820216, 4.1818643, 4.1819038, 4.1819038, 4.1817069, 4.1817856, 4.18151, 4.1817069, 4.1814313, 4.1813521, 4.1813521, 4.181312999999999, 4.1811948, 4.1811557, 4.1811161, 4.180997799999999, 4.181037399999999, 4.1808405, 4.180997799999999, 4.1808405, 4.1808405, 4.180761799999999, 4.1807222, 4.1806831, 4.1807222, 4.1804466, 4.180525299999999, 4.1803284, 4.180604, 4.180407, 4.180367899999999, 4.1802106, 4.1803284, 4.1802497, 4.180092299999999, 4.1802497, 4.1801314, 4.1799741, 4.1800137, 4.1799345, 4.1798558, 4.1796589, 4.1798558, 4.1799345, 4.1796985, 4.1796589, 4.1796589, 4.1796589, 4.179619799999999, 4.1795411, 4.179462, 4.1794229, 4.179462, 4.1794229, 4.1794229, 4.1794229, 4.1793442, 4.1793442, 4.1793442, 4.1791863, 4.1792655, 4.1792655, 4.1790686, 4.1791863]",2489.351238021375
8,0.5,4,25,"[0.0, 27.16202717551016, 55.710818059911276, 89.48611105018472, 136.89268806174232, 202.65314585431634, 273.5044432334995, 340.7924124658206, 403.54457906383084, 459.99728729360845, 510.74336024899526, 558.9480067617544, 602.1319162480113, 640.6669657401194, 677.0064693236907, 710.4469038700995, 741.217071484632, 769.8736231339267, 797.4742118743859, 823.9743684422767, 850.725227732006, 878.7099845550929, 908.0043453348762, 937.927304078288, 968.3169098521062, 999.0391433866596, 1030.045055386137, 1061.7488584464481, 1093.6743987625794, 1127.2251607861338, 1161.9992962822337, 1197.539522230047, 1233.8602141410138, 1268.9176344097493, 1301.3144611401406, 1331.0699236423857, 1358.5869734424991, 1384.3860772527457, 1408.4601803100281, 1432.347347703053, 1455.1273061104841, 1477.5350918335312, 1500.1425906622353, 1523.0873635676812, 1546.4022646281378, 1570.8229450997683, 1597.6347887192114, 1630.0503393322092, 1676.303793348915, 1727.2499897547732]","[4.1960406, 4.1949382, 4.1940322, 4.1933236, 4.1926541, 4.1920633, 4.1915121, 4.1910787, 4.190685299999999, 4.1902518, 4.189858, 4.1893067, 4.1891098, 4.1887951, 4.188283, 4.188086, 4.1878104, 4.1876135, 4.1873775, 4.186944, 4.186944, 4.186511, 4.186550100000001, 4.1861959, 4.1859598, 4.1858416, 4.185605000000001, 4.185408600000001, 4.1852903, 4.1850538, 4.1847782, 4.1848569, 4.184699500000001, 4.1843452, 4.1842666, 4.1840696, 4.1841087, 4.1840301, 4.1839514, 4.1837149, 4.1836362000000005, 4.1834788, 4.1834002, 4.1833215, 4.183045900000001, 4.1831245, 4.1831245, 4.1828094, 4.1828489, 4.182652, 4.1825733, 4.1824551, 4.1823764, 4.1823764, 4.1823368, 4.182258099999999, 4.1821795, 4.1820612, 4.1818643, 4.181942899999999, 4.1818247, 4.181746, 4.1817856, 4.18151, 4.1815491, 4.1814313, 4.181312999999999, 4.1815491, 4.1813917, 4.1812344, 4.1812344, 4.1811161, 4.1809192, 4.181037399999999, 4.1809587, 4.1808796, 4.1808009, 4.1808405, 4.180761799999999, 4.1806831, 4.1806436, 4.180564899999999, 4.180604, 4.1804862, 4.180564899999999, 4.180525299999999, 4.180407, 4.1803284, 4.180367899999999, 4.180171, 4.1800528, 4.180171, 4.180092299999999, 4.1800137, 4.180092299999999, 4.1800528, 4.1800528, 4.1798954, 4.1798558, 4.1796589, 4.1798167, 4.1797771, 4.1796985, 4.1798167, 4.179738, 4.1796589, 4.179738, 4.1795802, 4.1795411, 4.1795411, 4.1793833, 4.1793442, 4.1795015, 4.1792655, 4.1793442, 4.1792655, 4.1793442, 4.1791472, 4.1792259]",2487.499791878798
9,0.5,4,25,"[0.0, 26.281242219600244, 54.653194811653066, 88.4627985087352, 136.06511837498078, 201.75623150467254, 271.9134614854189, 338.9720915257933, 400.59881709377373, 457.9568931628546, 509.9874569317276, 557.22195027629, 600.0888541878671, 639.3884421202931, 674.8524096175797, 708.2663062283821, 739.1889259920338, 767.9254724276707, 795.4978135117142, 821.9327983355395, 848.9125838335456, 876.699951501083, 905.947843320783, 935.7129545142009, 966.4331458896145, 996.8812967498689, 1027.769551811933, 1059.3386925264742, 1091.8842535158665, 1125.3158524184432, 1159.8333403472566, 1194.7147371725596, 1231.3146345779949, 1265.4808263727543, 1298.675656385581, 1328.3940134777836, 1356.042971123618, 1381.7051655166274, 1406.1082646122497, 1429.5148133616337, 1452.3888657440161, 1474.9976142239252, 1497.4275476785667, 1520.1410263489438, 1543.6889565500126, 1567.9489952081647, 1595.1203800019264, 1627.4515400463222, 1673.6964829426104, 1723.744856119252]","[4.1958041, 4.194858999999999, 4.1938748, 4.1933627, 4.1926541, 4.1920633, 4.1913939, 4.1911969, 4.1904883, 4.1900549, 4.189661, 4.1892676, 4.1889129, 4.1886768, 4.1883616, 4.1880469, 4.1876135, 4.1874166, 4.187219600000001, 4.1869049, 4.1867471, 4.186353700000001, 4.1861959, 4.185920200000001, 4.1858416, 4.185605000000001, 4.185408600000001, 4.1852117, 4.1850934, 4.1847782, 4.184699500000001, 4.1845813, 4.1845813, 4.1843057, 4.1841483, 4.1841087, 4.183794, 4.1837149, 4.1837149, 4.1835184000000005, 4.1835575, 4.1832819, 4.1831245, 4.183045900000001, 4.1828094, 4.182888, 4.182888, 4.1826911, 4.1826124, 4.1824155, 4.182494200000001, 4.1823368, 4.182218600000001, 4.1821399, 4.1819038, 4.1820216, 4.181942899999999, 4.1817856, 4.181667299999999, 4.1817069, 4.181746, 4.1815491, 4.1814313, 4.181667299999999, 4.1812735, 4.1812735, 4.1813917, 4.181037399999999, 4.1810765, 4.1810765, 4.180997799999999, 4.1809587, 4.1808796, 4.1808009, 4.180761799999999, 4.1807222, 4.180604, 4.180604, 4.180604, 4.180564899999999, 4.1804466, 4.1803284, 4.1803284, 4.1803284, 4.1801314, 4.180171, 4.1801314, 4.1800137, 4.1799741, 4.180092299999999, 4.1801314, 4.1799345, 4.1798954, 4.1797771, 4.1797771, 4.1798167, 4.1798558, 4.179738, 4.179619799999999, 4.1797771, 4.1795802, 4.1795015, 4.1796589, 4.1795411, 4.1795015, 4.1793833, 4.1794229, 4.1793442, 4.1791863, 4.1791472, 4.1792655, 4.1792259, 4.1792259, 4.1792655, 4.1789894, 4.1791863, 4.1791077, 4.179029, 4.1790686]",2484.855159692926
10,0.5,4,25,"[0.0, 28.533805930268272, 57.29477530841393, 90.67900129386794, 137.5379741068906, 203.8149569940698, 273.33328500597906, 340.84062122202874, 402.63468551196286, 459.7902721638882, 511.30841955184644, 558.579563079676, 601.5919327027785, 641.0293161800788, 676.4735336837238, 709.594468095716, 740.3096633554284, 769.582970883551, 797.1717019516528, 823.2609577894947, 849.9286421640967, 877.9454928352449, 906.9535309397874, 937.1379389754055, 967.0884568730813, 998.0354095814324, 1029.0735128851638, 1060.4640297898336, 1093.2089105723635, 1125.8059201055466, 1160.2852335038565, 1195.6909104930492, 1231.807207196175, 1266.9861546144584, 1299.9116340086293, 1329.467813332491, 1356.9303455959466, 1382.8593574896358, 1406.8110086128631, 1430.584544670192, 1453.6097987903354, 1475.8869556373238, 1498.4550993117946, 1520.9441919119135, 1544.4921790980725, 1568.9553900669107, 1595.4267609368485, 1628.4360525447864, 1673.668526932055, 1723.7775232431386]","[4.1958833, 4.1948199, 4.1941504, 4.193283999999999, 4.1926541, 4.191906, 4.1915121, 4.1910787, 4.1905274, 4.1902127, 4.1895823, 4.1891494, 4.1889129, 4.1885982, 4.1882043, 4.1879678, 4.1875348, 4.1874166, 4.1871409, 4.1869049, 4.1866684, 4.1864324, 4.186314100000001, 4.1861172, 4.1858811000000005, 4.185644600000001, 4.185369000000001, 4.1852508, 4.1850934, 4.184936, 4.18466, 4.1845026, 4.18466, 4.184227, 4.184227, 4.1838727, 4.1840301, 4.183794, 4.1835971, 4.1834788, 4.1834393, 4.1832423, 4.183085, 4.1832032, 4.183045900000001, 4.1830063, 4.1828094, 4.1828489, 4.1825733, 4.182494200000001, 4.1823764, 4.1824155, 4.182258099999999, 4.181982499999999, 4.182218600000001, 4.1819038, 4.1818247, 4.1817069, 4.181746, 4.181667299999999, 4.181746, 4.1815491, 4.181470399999999, 4.181312999999999, 4.1814313, 4.1812344, 4.1811557, 4.1810765, 4.1811161, 4.1809192, 4.1809587, 4.1809587, 4.1809587, 4.1808405, 4.1806831, 4.180761799999999, 4.180604, 4.180407, 4.1804862, 4.180564899999999, 4.180367899999999, 4.180407, 4.180289299999999, 4.1804862, 4.1802497, 4.1802497, 4.1801314, 4.1802497, 4.1800528, 4.1799741, 4.1799741, 4.1800137, 4.1798167, 4.1798954, 4.1798558, 4.1796985, 4.1797771, 4.1796589, 4.1795411, 4.179738, 4.1795802, 4.179462, 4.179462, 4.1795015, 4.1793833, 4.1793833, 4.179462, 4.1793442, 4.1793046, 4.1793046, 4.1792259, 4.1791863, 4.1791863, 4.1791863, 4.1791472, 4.1789503, 4.1791863, 4.179029, 4.1789107]",2483.099647569445
11,0.5,4,25,"[0.0, 27.698608554737575, 56.41112382715448, 90.090387664746, 136.47295726300365, 201.59001572792693, 271.6302164979884, 339.53226975365135, 400.9607738005011, 457.95363474459475, 509.6673184959219, 557.0665895098149, 599.4271724467095, 638.5996719930955, 674.6356548281568, 707.8847266337126, 738.7913694630628, 767.7408290857912, 795.2737652222626, 821.9522148550726, 848.3492313682731, 876.5729147890626, 905.1378142983896, 935.0828599251228, 965.6221311571284, 995.9237344619277, 1027.155702529706, 1058.794082503684, 1090.5624503249337, 1123.6079051534198, 1157.9689968988428, 1193.6707253343411, 1229.4886355152626, 1264.9518520616448, 1297.1267315318032, 1327.1825259525053, 1354.6063903986264, 1380.134563253178, 1404.677826284908, 1428.1735419702827, 1450.8808365668879, 1473.0326033479614, 1495.7748191022406, 1518.6182063484039, 1542.0195687765163, 1566.8566245415232, 1593.0724086834007, 1625.5616851711407, 1671.3303153209058, 1720.2864787221251]","[4.1960406, 4.195016900000001, 4.1940718, 4.1933236, 4.1928115, 4.192338899999999, 4.191709, 4.191, 4.1905274, 4.1904097, 4.189858, 4.1891494, 4.188992, 4.1885586, 4.1883225, 4.1882434, 4.1876531, 4.1874561, 4.1871805, 4.186944, 4.1867867, 4.186550100000001, 4.1862354, 4.1861172, 4.1858416, 4.185684200000001, 4.185369000000001, 4.185408600000001, 4.1850934, 4.1849751, 4.1848178, 4.184699500000001, 4.18466, 4.1843843000000005, 4.184227, 4.1841874, 4.1840696, 4.1840301, 4.1837149, 4.1838331, 4.1834788, 4.1834788, 4.1833215, 4.1832423, 4.1830063, 4.1829667, 4.1828489, 4.1828094, 4.1826911, 4.1826124, 4.1824551, 4.1824155, 4.182258099999999, 4.1821795, 4.1824155, 4.1820612, 4.181982499999999, 4.1820216, 4.181746, 4.1818247, 4.181667299999999, 4.1817069, 4.1815886, 4.181470399999999, 4.18151, 4.1812344, 4.1812344, 4.1811557, 4.1811557, 4.1811161, 4.1810765, 4.1809192, 4.1809192, 4.1808405, 4.1808009, 4.1809192, 4.1806436, 4.1806436, 4.180604, 4.180525299999999, 4.180407, 4.180564899999999, 4.180367899999999, 4.180367899999999, 4.180407, 4.180171, 4.1803284, 4.1802497, 4.1802106, 4.1799741, 4.1800137, 4.1799741, 4.180171, 4.1799741, 4.1798954, 4.1798167, 4.1798558, 4.1798167, 4.1797771, 4.1797771, 4.1796985, 4.179619799999999, 4.1795411, 4.1795802, 4.1795411, 4.1795802, 4.179462, 4.1795015, 4.179619799999999, 4.1793833, 4.1793046, 4.1793046, 4.1792655, 4.1792655, 4.1791863, 4.1791472, 4.1791863, 4.1791077, 4.1788716]",2481.1020662597657
